en,fr,it,es,de,ko,kana
SC NPC House 1,SC NPC House 1,SC NPC House 1,SC NPC House 1,SC NPC House 1,SC NPC House 1,SC NPC House 1
SC NPC House 2,SC NPC House 2,SC NPC House 2,SC NPC House 2,SC NPC House 2,SC NPC House 2,SC NPC House 2
SC Shiny House,SC Shiny House,SC Shiny House,SC Shiny House,SC Shiny House,SC Shiny House,SC Shiny House
SC PC,SC PC,SC PC,SC PC,SC PC,SC PC,SC PC
SC PM,SC PM,SC PM,SC PM,SC PM,SC PM,SC PM
Smu City Gym,Smu City Gym,Smu City Gym,Smu City Gym,Smu City Gym,Smu City Gym,Smu City Gym
Route 4,Route 4,Route 4,Route 4,Route 4,Route 4,Route 4
Paradies Exterior,Paradies Exterior,Paradies Exterior,Paradies Exterior,Paradies Exterior,Paradies Exterior,Paradies Exterior
Paradies Gym,Paradies Gym,Paradies Gym,Paradies Gym,Paradies Gym,Paradies Gym,Paradies Gym
Paradies City Lab,Paradies City Testing Facility,Paradies City Testing Facility,Paradies City Testing Facility,Paradies City Testing Facility,Paradies City Testing Facility,Paradies City Testing Facility
Route 5,Route 5,Route 5,Route 5,Route 5,Route 5,Route 5
Lubbock Exterior,Lubbock Exterior,Lubbock Exterior,Lubbock Exterior,Lubbock Exterior,Lubbock Exterior,Lubbock Exterior
Lubbock Shiny House,Lubbock Shiny House,Lubbock Shiny House,Lubbock Shiny House,Lubbock Shiny House,Lubbock Shiny House,Lubbock Shiny House
Lubbock PC,Lubbock PC,Lubbock PC,Lubbock PC,Lubbock PC,Lubbock PC,Lubbock PC
Lubbock PCPM,Lubbock PCPM,Lubbock PCPM,Lubbock PCPM,Lubbock PCPM,Lubbock PCPM,Lubbock PCPM
